Type,Number,Company,City,Province,Country,Latitude,Longitude
2,213,Cainiao,Beijing,Beijing,China,39.932721,116.624921
2,214,Cainiao,Beijing,Beijing,China,39.855198,116.389565
2,215,Cainiao,Beijing,Beijing,China,40.205313,116.240456
2,216,Cainiao,Beijing,Beijing,China,39.834757,116.479722
2,217,Cainiao,Beijing,Beijing,China,39.727491,116.28493
2,218,Cainiao,Beijing,Beijing,China,39.809529,116.408507
2,219,Cainiao,Beijing,Beijing,China,39.95875,116.446942
2,220,Cainiao,Beijing,Beijing,China,39.913162,116.565165
2,221,Cainiao,Beijing,Beijing,China,39.935126,116.651859
2,222,Cainiao,Beijing,Beijing,China,39.892658,116.304431
2,223,Cainiao,Beijing,Beijing,China,39.868669,116.603667
2,224,Cainiao,Beijing,Beijing,China,39.663436,115.945146
2,225,Cainiao,Beijing,Beijing,China,39.79209,116.295566
2,226,Cainiao,Beijing,Beijing,China,40.135133,116.709372
2,227,Cainiao,Beijing,Beijing,China,39.858307,116.203539
2,228,Cainiao,Beijing,Beijing,China,39.925057,116.292576
2,229,Cainiao,Beijing,Beijing,China,39.820341,116.643983
2,230,Cainiao,Beijing,Beijing,China,40.019841,116.357561
2,231,Cainiao,Beijing,Beijing,China,39.855304,116.203612
2,232,Cainiao,Beijing,Beijing,China,39.776873,116.170934
2,233,Cainiao,Beijing,Beijing,China,39.841844,116.198366
2,234,Cainiao,Beijing,Beijing,China,39.752932,116.390568
2,235,Cainiao,Beijing,Beijing,China,39.763391,116.316789
2,236,Cainiao,Beijing,Beijing,China,39.936253,116.651025
2,237,Cainiao,Beijing,Beijing,China,40.069043,116.415156
2,238,Cainiao,Beijing,Beijing,China,40.15911,116.463937
2,239,Cainiao,Beijing,Beijing,China,40.227357,116.265502
2,240,Cainiao,Beijing,Beijing,China,39.682935,116.534317
2,241,Cainiao,Beijing,Beijing,China,39.985089,116.471536
2,242,Cainiao,Beijing,Beijing,China,40.090513,116.328806
2,243,Cainiao,Beijing,Beijing,China,40.043078,116.547575
2,244,Cainiao,Beijing,Beijing,China,39.981184,116.408537
2,245,Cainiao,Beijing,Beijing,China,39.735766,116.168141
2,246,Cainiao,Beijing,Beijing,China,40.013009,116.70993
2,247,Cainiao,Beijing,Beijing,China,39.930772,116.465961
2,248,Cainiao,Beijing,Beijing,China,40.075337,116.342535
2,249,Cainiao,Beijing,Beijing,China,39.939732,116.19053
2,250,Cainiao,Beijing,Beijing,China,40.268916,117.327795
2,251,Cainiao,Beijing,Beijing,China,40.176403,116.639798
2,252,Cainiao,Beijing,Beijing,China,39.988813,116.390171
2,253,Cainiao,Beijing,Beijing,China,40.090088,116.375676
2,254,Cainiao,Beijing,Beijing,China,40.12019,116.360817
2,255,Cainiao,Beijing,Beijing,China,39.964818,116.357962
2,256,Cainiao,Beijing,Beijing,China,39.579387,115.718544
2,257,Cainiao,Beijing,Beijing,China,40.161259,116.413745
2,258,Cainiao,Beijing,Beijing,China,40.071114,116.440532
2,259,Cainiao,Beijing,Beijing,China,40.000314,116.331151
